Date,Open,High,Low,Close,Adj Close,Volume
24/02/2020,27105.34961,27105.34961,26813.2207,26820.88086,26820.88086,2044657000
25/02/2020,26722.39063,26914.05078,26667.03906,26893.23047,26893.23047,1924042900
26/02/2020,26479.90039,26776.06055,26479.90039,26696.49023,26696.49023,2040000000
27/02/2020,26529.16992,26849.57031,26419.9707,26778.61914,26778.61914,2110369700
28/02/2020,26249.06055,26313.55078,25989.41016,26129.92969,26129.92969,3191426200
02/03/2020,26077.73047,26375.91016,26077.73047,26291.67969,26291.67969,2201535600
03/03/2020,26419.13086,26527.75,26233.39063,26284.82031,26284.82031,2136295000
04/03/2020,26321.56055,26372.48047,26038.39063,26222.07031,26222.07031,1957062400
05/03/2020,26348.16016,26805.58008,26315.35938,26767.86914,26767.86914,2522843200
06/03/2020,26397.7793,26408.80078,26084.23047,26146.66992,26146.66992,2646519300
09/03/2020,25134.01953,25321.2793,24948.38086,25040.46094,25040.46094,4677892400
10/03/2020,25285.67969,25578.60938,24978.9707,25392.50977,25392.50977,3225661100
11/03/2020,25459.96094,25493.23047,25140.38086,25231.60938,25231.60938,2627625600
12/03/2020,24657.66992,24657.66992,24117.93945,24309.07031,24309.07031,3748928400
13/03/2020,22519.32031,24184.48047,22519.32031,24032.91016,24032.91016,5495155700
16/03/2020,23317.81055,23631.5293,22842.25,23063.57031,23063.57031,4067029300
17/03/2020,23001.75977,23401.19922,22676.46094,23263.73047,23263.73047,3637973700
18/03/2020,23023.33984,23425.0293,22167.41992,22291.82031,22291.82031,4217153600
19/03/2020,22221.38086,22380.33984,21139.25977,21709.13086,21709.13086,5628397600
20/03/2020,22147.33984,22805.07031,22147.33984,22805.07031,22805.07031,4528187900
23/03/2020,21696.13086,21696.13086,21696.13086,21696.13086,21696.13086,0
24/03/2020,22497.57031,22753.00977,22383.25,22663.49023,22663.49023,3614066700
25/03/2020,23255.91016,23569.44922,23062.23047,23527.18945,23527.18945,3605374900
26/03/2020,23604.83008,23604.83008,23163.66992,23352.33984,23352.33984,2519508100
27/03/2020,23768.41016,23791.19922,23354.00977,23484.2793,23484.2793,2199674300
30/03/2020,23020.84961,23491.50977,22973.33008,23175.10938,23175.10938,2553435900
31/03/2020,23613.26953,23627.5293,23238.03906,23603.48047,23603.48047,2876326600
01/04/2020,23365.90039,23540.00977,22947.64063,23085.78906,23085.78906,2879977600
02/04/2020,22838.66992,23280.06055,22756.13086,23280.06055,23280.06055,2560937400
03/04/2020,23072.94922,23236.10938,23030.58008,23236.10938,23236.10938,1870630600
06/04/2020,23558.83008,23832.92969,23271.4707,23749.11914,23749.11914,1834036600
07/04/2020,24093.05078,24262.00977,23796.0293,24253.28906,24253.28906,2535034600
08/04/2020,24191.32031,24191.32031,23897.40039,23970.36914,23970.36914,1840854100
09/04/2020,24181.32031,24308.68945,24045.17969,24300.33008,24300.33008,1725334600
14/04/2020,24347.60938,24546.39063,24283.13086,24435.40039,24435.40039,2050447800
15/04/2020,24499.85938,24603.59961,24090.5,24145.33984,24145.33984,1906625200
16/04/2020,24025.44922,24102.91016,23854.78906,24006.44922,24006.44922,1865473400
17/04/2020,24457.83008,24666.64063,24308.7793,24380,24380,1937579000
20/04/2020,24503.56055,24503.56055,24225.55078,24330.01953,24330.01953,1375091600
21/04/2020,24247.83984,24247.83984,23676.13086,23793.55078,23793.55078,2160661700
22/04/2020,23540.53906,23939.28906,23483.31055,23893.35938,23893.35938,1668362400
23/04/2020,23983.65039,24107.88086,23806.30078,23977.32031,23977.32031,1814344800
24/04/2020,23844.55078,23957.16992,23730.49023,23831.33008,23831.33008,1301664900
27/04/2020,24030.66016,24318.81055,24030.53906,24280.14063,24280.14063,1592713000
28/04/2020,24401.11914,24582.66016,24176.88086,24575.96094,24575.96094,1687557300
29/04/2020,24786.01953,24855.4707,24549.61914,24643.58984,24643.58984,1648009000
04/05/2020,23895.10938,23897.5293,23584.94922,23613.80078,23613.80078,2556774000
05/05/2020,23755.76953,23928.44922,23697.88086,23868.66016,23868.66016,1332967300
06/05/2020,23868.01953,24235.0293,23868.01953,24137.48047,24137.48047,1890000000
07/05/2020,24120.81055,24120.81055,23913.5,23980.63086,23980.63086,1317060000
08/05/2020,24193.35938,24263.73047,24097.11914,24230.16992,24230.16992,1274113200
11/05/2020,24470.17969,24766.83008,24470.17969,24602.06055,24602.06055,1458200000
12/05/2020,24358,24411.03906,24136.19922,24245.67969,24245.67969,1479628600
13/05/2020,24111.66992,24320.19922,23979.36914,24180.30078,24180.30078,1359038500
14/05/2020,24038.07031,24081.18945,23790.26953,23829.74023,23829.74023,1697720800
15/05/2020,23834.67969,23985.11914,23671.60938,23797.4707,23797.4707,1509478600
18/05/2020,23736.66992,23952.05078,23722.16992,23934.76953,23934.76953,1645114700
19/05/2020,24489.55078,24552.55078,24314.44922,24388.13086,24388.13086,2022987500
20/05/2020,24462.90039,24514.86914,24315.75,24399.94922,24399.94922,1432021300
21/05/2020,24528.91016,24528.91016,24208.16016,24280.0293,24280.0293,1474345000
22/05/2020,23756.91016,23756.91016,22878.25977,22930.14063,22930.14063,3680989100
25/05/2020,22725.69922,22968.65039,22519.73047,22952.24023,22952.24023,1769029000
